X	Y (m)	z(m)
1	4.82E+03	3.9
1	4.83E+03	3.9
1	4.83E+03	3.9
1	4.83E+03	3.9
1	4.84E+03	3.91
1	4.84E+03	3.91
1	4.84E+03	3.91
1	4.85E+03	3.91
1	4.85E+03	3.91
1	4.85E+03	3.91
1	4.86E+03	3.92
1	4.86E+03	3.92
1	4.87E+03	3.92
1	4.87E+03	3.92
1	4.87E+03	3.92
1	4.88E+03	3.92
1	4.88E+03	3.92
1	4.88E+03	3.92
1	4.89E+03	3.92
1	4.89E+03	3.92
1	4.89E+03	3.92
1	4.90E+03	3.92
1	4.90E+03	3.92
1	4.90E+03	3.93
1	4.91E+03	3.93
1	4.91E+03	3.93
1	4.92E+03	3.93
1	4.92E+03	3.93
1	4.92E+03	3.93
1	4.93E+03	3.94
1	4.93E+03	3.94
1	4.93E+03	3.94
1	4.94E+03	3.94
1	4.94E+03	3.94
1	4.94E+03	3.94
1	4.95E+03	3.94
1	4.95E+03	3.95
1	4.95E+03	3.95
1	4.96E+03	3.95
1	4.96E+03	3.95
1	4.96E+03	3.95
1	4.97E+03	3.95
1	4.97E+03	3.95
1	4.98E+03	3.95
1	4.98E+03	3.95
1	4.98E+03	3.95
1	4.99E+03	3.95
1	4.99E+03	3.95
1	4.99E+03	3.96
1	5.00E+03	3.96
1	5.00E+03	3.96
1	5.00E+03	3.96
1	5.01E+03	3.96
1	5.01E+03	3.96
1	5.01E+03	3.96
1	5.02E+03	3.97
1	5.02E+03	3.97
1	5.03E+03	3.97
1	5.03E+03	3.97
1	5.03E+03	3.97
1	5.04E+03	3.97
1	5.04E+03	3.98
1	5.04E+03	3.98
1	5.05E+03	3.98
1	5.05E+03	3.98
1	5.05E+03	3.98
1	5.06E+03	3.98
1	5.06E+03	3.98
1	5.06E+03	3.98
1	5.07E+03	3.98
1	5.07E+03	3.98
1	5.07E+03	3.98
1	5.08E+03	3.98
1	5.08E+03	3.99
1	5.09E+03	3.99
1	5.09E+03	3.99
1	5.09E+03	3.99
1	5.10E+03	3.99
1	5.10E+03	3.99
1	5.10E+03	4
1	5.11E+03	4
1	5.11E+03	4
1	5.11E+03	4
1	5.12E+03	4
1	5.12E+03	4
1	5.12E+03	4
1	5.13E+03	4.01
1	5.13E+03	4.01
1	5.13E+03	4.01
1	5.14E+03	4.01
1	5.14E+03	4.01
1	5.15E+03	4.02
1	5.15E+03	4.02
1	5.15E+03	4.02
1	5.16E+03	4.02
1	5.16E+03	4.02
1	5.16E+03	4.02
1	5.17E+03	4.02
1	5.17E+03	4.02
1	5.17E+03	4.02
1	5.18E+03	4.02
1	5.18E+03	4.02
1	5.18E+03	4.02
1	5.19E+03	4.03
1	5.19E+03	4.03
1	5.20E+03	4.03
1	5.20E+03	4.03
1	5.20E+03	4.03
1	5.21E+03	4.03
1	5.21E+03	4.04
1	5.21E+03	4.04
1	5.22E+03	4.04
1	5.22E+03	4.04
1	5.22E+03	4.04
1	5.23E+03	4.04
1	5.23E+03	4.05
1	5.23E+03	4.05
1	5.24E+03	4.05
1	5.24E+03	4.05
1	5.24E+03	4.05
1	5.25E+03	4.05
1	5.25E+03	4.05
1	5.26E+03	4.05
1	5.26E+03	4.05
1	5.26E+03	4.05
1	5.27E+03	4.05
1	5.27E+03	4.06
1	5.27E+03	4.06
1	5.28E+03	4.06
1	5.28E+03	4.06
1	5.28E+03	4.06
1	5.29E+03	4.07
1	5.29E+03	4.07
1	5.29E+03	4.07
1	5.30E+03	4.07
1	5.30E+03	4.07
1	5.31E+03	4.08
1	5.31E+03	4.08
1	5.31E+03	4.08
1	5.32E+03	4.08
1	5.32E+03	4.08
1	5.32E+03	4.08
1	5.33E+03	4.08
1	5.33E+03	4.08
1	5.33E+03	4.08
1	5.34E+03	4.08
1	5.34E+03	4.08
1	5.34E+03	4.09
1	5.35E+03	4.09
1	5.35E+03	4.09
1	5.35E+03	4.09
1	5.36E+03	4.09
1	5.36E+03	4.1
