X	Y (m)	z(m)		
	"3.81e3,"	3.47		
	"3.82e3,"	3.47		
	"3.82e3,"	3.47		
	"3.82e3,"	3.47		
	"3.83e3,"	3.47		
	"3.83e3,"	3.47		
	"3.83e3,"	3.47		
	"3.84e3,"	3.47		
	"3.84e3,"	3.47		
	"3.84e3,"	3.48		
	"3.85e3,"	3.48		
	"3.85e3,"	3.48		
	"3.86e3,"	3.48		
	"3.86e3,"	3.48		
	"3.86e3,"	3.49		
	"3.87e3,"	3.49		
	"3.87e3,"	3.49		
	"3.87e3,"	3.49		
	"3.88e3,"	3.5		
	"3.88e3,"	3.5		
	"3.88e3,"	3.5		
	"3.89e3,"	3.5		
	"3.89e3,"	3.5		
	"3.89e3,"	3.5		
	"3.9e3,"	3.5		
	"3.9e3,"	3.5		
	"3.91e3,"	3.5		
	"3.91e3,"	3.51		
	"3.91e3,"	3.51		
	"3.92e3,"	3.51		
	"3.92e3,"	3.51		
	"3.92e3,"	3.51		
	"3.93e3,"	3.52		
	"3.93e3,"	3.52		
	"3.93e3,"	3.52		
	"3.94e3,"	3.52		
	"3.94e3,"	3.53		
	"3.94e3,"	3.53		
	"3.95e3,"	3.53		
	"3.95e3,"	3.53		
	"3.95e3,"	3.53		
	"3.96e3,"	3.53		
	"3.96e3,"	3.53		
	"3.97e3,"	3.53		
	"3.97e3,"	3.53		
	"3.97e3,"	3.54		
	"3.98e3,"	3.54		
	"3.98e3,"	3.54		
	"3.98e3,"	3.54		
	"3.99e3,"	3.54		
	"3.99e3,"	3.55		
	"3.99e3,"	3.55		
	"4.0e3,"	3.55		
	"4.0e3,"	3.55		
	"4.0e3,"	3.56		
	"4.01e3,"	3.56		
	"4.01e3,"	3.56		
	"4.01e3,"	3.56		
	"4.02e3,"	3.56		
	"4.02e3,"	3.56		
	"4.03e3,"	3.56		
	"4.03e3,"	3.56		
	"4.03e3,"	3.56		
	"4.04e3,"	3.56		
	"4.04e3,"	3.56		
	"4.04e3,"	3.56		
	"4.05e3,"	3.56		
	"4.05e3,"	3.56		
	"4.05e3,"	3.58		
	"4.06e3,"	3.58		
	"4.06e3,"	3.58		
	"4.06e3,"	3.58		
	"4.07e3,"	3.58		
	"4.07e3,"	3.58		
	"4.08e3,"	3.58		
	"4.08e3,"	3.58		
	"4.08e3,"	3.58		
	"4.09e3,"	3.6		
	"4.09e3,"	3.6		
	"4.09e3,"	3.6		
	"4.1e3,"	3.6		
	"4.1e3,"	3.6		
	"4.1e3,"	3.6		
	"4.11e3,"	3.6		
	"4.11e3,"	3.6		
	"4.11e3,"	3.6		
	"4.12e3,"	3.6		
	"4.12e3,"	3.6		
	"4.12e3,"	3.6		
	"4.13e3,"	3.6		
	"4.13e3,"	3.6		
	"4.14e3,"	3.62		
	"4.14e3,"	3.62		
	"4.14e3,"	3.62		
	"4.15e3,"	3.62		
	"4.15e3,"	3.62		
	"4.15e3,"	3.63		
	"4.16e3,"	3.63		
	"4.16e3,"	3.63		
	"4.16e3,"	3.63		
	"4.17e3,"	3.63		
	"4.17e3,"	3.63		
	"4.17e3,"	3.63		
	"4.18e3,"	3.63		
	"4.18e3,"	3.63		
	"4.19e3,"	3.64		
	"4.19e3,"	3.64		
	"4.19e3,"	3.64		
	"4.2e3,"	3.64		
	"4.2e3,"	3.65		
	"4.2e3,"	3.65		
	"4.21e3,"	3.65		
	"4.21e3,"	3.65		
	"4.21e3,"	3.65		
	"4.22e3,"	3.66		
	"4.22e3,"	3.66		
